theta;phi;z_final;P0_teorica;P1_teorica;secuencia_gates;resultado;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;1;0;Diferencia
0;0;2,220446049;5E+15;5E+15;H;1;;4968;5032;64
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;1;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
0;0;2,220446049;5E+15;5E+15;H;0;;;;
